GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Client Library,au.org.consumerdatastandards.client.api.banking,BankingScheduledPaymentsAPI,556,0,6,0,82,0,21,0,18,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingAccountsAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Client Library,au.org.consumerdatastandards.client.api.banking,BankingProductsAPI.GetProductDetailReturnTypeResolver,31,0,4,0,6,0,4,0,1,0
